phase,workload,nodes,edges,samples,p05_ns,median_ns,p95_ns,min_ns,max_ns,allocations,allocated_bytes,peak_live_bytes,retained_bytes
engine_execution_alloc,tiny_yield_chain,1,0,0,,,,,,102,11796,0,0
engine_execution_alloc,trace_default,100,99,0,,,,,,5262,533272,0,0
engine_execution_alloc,trace_observer,100,99,0,,,,,,5262,533272,0,0
fixture_generation,graph_chain,1,0,20,352,389,500,352,629,0,0,0,0
fixture_generation,graph_chain,10,9,20,2055,2083,2296,2055,2315,0,0,0,0
fixture_generation,graph_chain,100,99,20,25000,25685,26019,25000,26037,0,0,0,0
fixture_generation,graph_chain,1000,999,20,147223,147676,147982,147223,148222,0,0,0,0
fixture_generation,graph_sparse,1,0,20,333,352,555,333,593,0,0,0,0
fixture_generation,graph_sparse,10,9,20,2037,2074,2167,2037,2315,0,0,0,0
fixture_generation,graph_sparse,100,99,20,15500,15898,16111,15500,16167,0,0,0,0
fixture_generation,graph_sparse,1000,999,20,148297,148787,149370,148297,168648,0,0,0,0
fixture_generation,graph_wide,1,0,20,315,352,518,315,518,0,0,0,0
fixture_generation,graph_wide,10,9,20,2037,2065,2185,2037,2389,0,0,0,0
fixture_generation,graph_wide,100,99,20,15778,16167,16426,15778,17407,0,0,0,0
fixture_generation,graph_wide,1000,999,20,147371,148139,148648,147371,153408,0,0,0,0
fixture_generation,tiny_yield_chain,1,0,20,203,222,944,203,1741,0,0,0,0
machine_state_setup,graph_chain,1,0,40,537,565,722,537,833,0,0,0,0
machine_state_setup,graph_chain,10,9,40,2685,2852,3111,2685,7722,0,0,0,0
machine_state_setup,graph_chain,100,99,40,13556,13740,17334,13500,47315,0,0,0,0
machine_state_setup,graph_chain,1000,999,40,148963,156185,166297,148630,192278,0,0,0,0
machine_state_setup,graph_sparse,1,0,40,518,546,703,518,815,0,0,0,0
machine_state_setup,graph_sparse,10,9,40,2833,3027,3148,2815,7907,0,0,0,0
machine_state_setup,graph_sparse,100,99,40,13407,13593,16945,13407,17740,0,0,0,0
machine_state_setup,graph_sparse,1000,999,40,150333,157047,164668,149149,194668,0,0,0,0
machine_state_setup,graph_wide,1,0,40,537,574,648,537,834,0,0,0,0
machine_state_setup,graph_wide,10,9,40,2686,2888,3167,2685,7649,0,0,0,0
machine_state_setup,graph_wide,100,99,40,13149,13388,16852,13148,21778,0,0,0,0
machine_state_setup,graph_wide,1000,999,40,150704,158074,179168,150593,217426,0,0,0,0
machine_state_setup,tiny_yield_chain,1,0,40,333,389,519,333,1111,0,0,0,0
plan_build,component_repeated_typed_10,10,10,20,35981,36935,41852,35981,48074,0,0,0,0
plan_build,component_repeated_typed_100,100,100,20,370557,373668,389482,370557,429298,0,0,0,0
plan_build,component_repeated_typed_2,2,2,20,9093,9370,12667,9093,31352,0,0,0,0
plan_build,graph_chain,1,0,20,3704,4000,5111,3704,11537,0,0,0,0
plan_build,graph_chain,10,9,20,20870,21703,24778,20870,28519,0,0,0,0
plan_build,graph_chain,100,99,20,214408,216982,225630,214408,230223,0,0,0,0
plan_build,graph_chain,1000,999,20,4378846,4532180,4725681,4378846,4816589,0,0,0,0
plan_build,graph_sparse,1,0,20,4019,4111,4537,4019,6944,0,0,0,0
plan_build,graph_sparse,10,9,20,19389,19694,28612,19389,28889,0,0,0,0
plan_build,graph_sparse,100,99,20,135685,136889,141722,135685,148852,0,0,0,0
