phase,workload,nodes,edges,samples,median_ns,p95_ns,min_ns,max_ns,allocations,allocated_bytes
machine_state_setup,graph_chain,1,0,40,500,1000,400,1100,0,0
machine_state_setup,graph_chain,10,9,40,3500,3900,3200,6600,0,0
machine_state_setup,graph_chain,100,99,40,61700,66200,57100,91400,0,0
machine_state_setup,graph_chain,1000,999,40,527450,699200,248100,758800,0,0
machine_state_setup,graph_sparse,1,0,40,500,900,400,900,0,0
machine_state_setup,graph_sparse,10,9,40,3400,4200,3100,7200,0,0
machine_state_setup,graph_sparse,100,99,40,64650,70200,59600,114800,0,0
machine_state_setup,graph_sparse,1000,999,40,339150,526100,309400,664300,0,0
machine_state_setup,graph_wide,1,0,40,500,700,500,1400,0,0
machine_state_setup,graph_wide,10,9,40,3650,4300,3100,4700,0,0
machine_state_setup,graph_wide,100,99,40,52750,59100,45500,66300,0,0
machine_state_setup,graph_wide,1000,999,40,473950,804000,432800,894400,0,0
machine_state_setup,tiny_yield_chain,1,0,40,500,600,500,1100,0,0
plan_build,graph_chain,1,0,20,500,1100,400,1700,0,0
plan_build,graph_chain,10,9,20,2100,2900,2000,4000,0,0
plan_build,graph_chain,100,99,20,33750,55300,24500,68800,0,0
plan_build,graph_chain,1000,999,20,964450,1057000,780500,1101900,0,0
plan_build,graph_sparse,1,0,20,500,800,400,900,0,0
plan_build,graph_sparse,10,9,20,2200,9700,2000,15500,0,0
plan_build,graph_sparse,100,99,20,23650,55200,23300,76900,0,0
plan_build,graph_sparse,1000,999,20,770100,1041400,753800,1149600,0,0
plan_build,graph_wide,1,0,20,500,600,400,1400,0,0
plan_build,graph_wide,10,9,20,2100,2800,2000,5800,0,0
plan_build,graph_wide,100,99,20,24700,39900,24100,49700,0,0
plan_build,graph_wide,1000,999,20,764600,875000,743400,963700,0,0
plan_build,tiny_yield_chain,1,0,20,500,1500,400,7000,0,0
plan_build_alloc,graph_chain,1,0,0,,,,,13,2317
plan_build_alloc,graph_chain,10,9,0,,,,,57,14266
plan_build_alloc,graph_chain,100,99,0,,,,,429,126588
plan_build_alloc,graph_chain,1000,999,0,,,,,4041,1049104
plan_build_alloc,graph_sparse,1,0,0,,,,,13,2318
plan_build_alloc,graph_sparse,10,9,0,,,,,57,14267
plan_build_alloc,graph_sparse,100,99,0,,,,,429,126589
plan_build_alloc,graph_sparse,1000,999,0,,,,,4041,1049105
plan_build_alloc,graph_wide,1,0,0,,,,,13,2316
plan_build_alloc,graph_wide,10,9,0,,,,,57,14265
plan_build_alloc,graph_wide,100,99,0,,,,,429,126587
plan_build_alloc,graph_wide,1000,999,0,,,,,4041,1049103
plan_build_alloc,tiny_yield_chain,1,0,0,,,,,13,2317
pure_machine_events_preseeded,graph_chain,1,0,40,1000,1700,900,3200,0,0
pure_machine_events_preseeded,graph_chain,10,9,40,7900,11000,7700,14900,0,0
pure_machine_events_preseeded,graph_chain,100,99,40,121200,125300,119400,127400,0,0
pure_machine_events_preseeded,graph_chain,1000,999,40,6684450,6795600,6523500,6845700,0,0
representative_application,application_hash_handwritten,10,9,40,550,600,500,600,0,0
representative_application,application_hash_handwritten,100,99,40,6100,6200,6100,6200,0,0
representative_application,application_hash_sdax,10,9,40,30600,31100,30300,36300,0,0
representative_application,application_hash_sdax,100,99,40,353800,373800,338400,402400,0,0
representative_application_alloc,application_hash_sdax,10,9,0,,,,,654,66354
representative_application_alloc,application_hash_sdax,100,99,0,,,,,5983,772740
