phase,workload,nodes,edges,samples,median_ns,p95_ns,min_ns,max_ns,allocations,allocated_bytes
machine_state_setup,graph_sparse,100,99,40,64850,69200,35000,71000,0,0
machine_state_setup,graph_sparse,1000,999,40,333650,552500,314700,752800,0,0
machine_state_setup,graph_wide,1,0,40,600,800,500,1000,0,0
machine_state_setup,graph_wide,10,9,40,3700,4100,3300,4400,0,0
machine_state_setup,graph_wide,100,99,40,63100,68900,57700,76800,0,0
machine_state_setup,graph_wide,1000,999,40,450050,736900,418500,763700,0,0
machine_state_setup,tiny_yield_chain,1,0,40,500,600,400,1000,0,0
plan_build,graph_chain,1,0,20,600,900,500,1500,0,0
plan_build,graph_chain,10,9,20,2400,8100,2200,11300,0,0
plan_build,graph_chain,100,99,20,32300,54700,24700,67800,0,0
plan_build,graph_chain,1000,999,20,803800,962900,740000,964700,0,0
plan_build,graph_sparse,1,0,20,600,700,500,1000,0,0
plan_build,graph_sparse,10,9,20,2200,2700,2100,3300,0,0
plan_build,graph_sparse,100,99,20,24650,42600,24200,47700,0,0
plan_build,graph_sparse,1000,999,20,769550,834500,741400,915700,0,0
plan_build,graph_wide,1,0,20,600,800,600,1300,0,0
plan_build,graph_wide,10,9,20,2100,3900,2100,6600,0,0
plan_build,graph_wide,100,99,20,24650,46700,24200,57100,0,0
plan_build,graph_wide,1000,999,20,776250,805600,744100,1005500,0,0
plan_build,tiny_yield_chain,1,0,20,600,1200,500,7100,0,0
plan_build_alloc,graph_chain,1,0,0,,,,,13,2317
plan_build_alloc,graph_chain,10,9,0,,,,,57,14266
plan_build_alloc,graph_chain,100,99,0,,,,,429,126588
plan_build_alloc,graph_chain,1000,999,0,,,,,4041,1049104
plan_build_alloc,graph_sparse,1,0,0,,,,,13,2318
plan_build_alloc,graph_sparse,10,9,0,,,,,57,14267
plan_build_alloc,graph_sparse,100,99,0,,,,,429,126589
plan_build_alloc,graph_sparse,1000,999,0,,,,,4041,1049105
plan_build_alloc,graph_wide,1,0,0,,,,,13,2316
plan_build_alloc,graph_wide,10,9,0,,,,,57,14265
plan_build_alloc,graph_wide,100,99,0,,,,,429,126587
plan_build_alloc,graph_wide,1000,999,0,,,,,4041,1049103
plan_build_alloc,tiny_yield_chain,1,0,0,,,,,13,2317
