phase,workload,nodes,edges,samples,p05_ns,median_ns,p95_ns,min_ns,max_ns,allocations,allocated_bytes,peak_live_bytes,retained_bytes
plan_validation_freeze,graph_sparse,1000,999,20,4301198,4319170,4449365,4301198,4612292,0,0,0,0
plan_validation_freeze,graph_wide,1,0,20,1685,1759,1815,1685,1852,0,0,0,0
plan_validation_freeze,graph_wide,10,9,20,7371,7509,7685,7371,8092,0,0,0,0
plan_validation_freeze,graph_wide,100,99,20,104778,105287,105926,104778,106001,0,0,0,0
plan_validation_freeze,graph_wide,1000,999,20,4717626,4746449,4766830,4717626,4767422,0,0,0,0
plan_validation_freeze,tiny_yield_chain,1,0,20,1704,1759,1815,1704,1815,0,0,0,0
plan_validation_freeze_alloc,graph_chain,1,0,0,,,,,,20,4584,0,0
plan_validation_freeze_alloc,graph_chain,10,9,0,,,,,,91,21357,0,0
plan_validation_freeze_alloc,graph_chain,100,99,0,,,,,,733,179615,0,0
plan_validation_freeze_alloc,graph_chain,1000,999,0,,,,,,7045,1496979,0,0
plan_validation_freeze_alloc,graph_sparse,1,0,0,,,,,,20,4585,0,0
plan_validation_freeze_alloc,graph_sparse,10,9,0,,,,,,87,21230,0,0
plan_validation_freeze_alloc,graph_sparse,100,99,0,,,,,,684,178048,0,0
plan_validation_freeze_alloc,graph_sparse,1000,999,0,,,,,,6546,1481012,0,0
plan_validation_freeze_alloc,graph_wide,1,0,0,,,,,,20,4583,0,0
plan_validation_freeze_alloc,graph_wide,10,9,0,,,,,,85,21292,0,0
plan_validation_freeze_alloc,graph_wide,100,99,0,,,,,,640,178462,0,0
plan_validation_freeze_alloc,graph_wide,1000,999,0,,,,,,6055,1481362,0,0
plan_validation_freeze_alloc,tiny_yield_chain,1,0,0,,,,,,20,4584,0,0
pure_machine_events_preseeded,graph_chain,1,0,40,1740,1778,2018,1722,4352,0,0,0,0
pure_machine_events_preseeded,graph_chain,10,9,40,14000,14667,15148,13963,17241,0,0,0,0
pure_machine_events_preseeded,graph_chain,100,99,40,262945,264537,269020,262890,270723,0,0,0,0
pure_machine_events_preseeded,graph_chain,1000,999,40,23071608,23262024,23415331,23069033,23485016,0,0,0,0
representative_application,application_hash_handwritten,10,9,40,1222,1241,1277,1222,1649,0,0,0,0
representative_application,application_hash_handwritten,100,99,40,13296,13315,13445,13296,13759,0,0,0,0
representative_application,application_hash_sdax,10,9,40,63556,64047,64648,63500,64945,0,0,0,0
representative_application,application_hash_sdax,100,99,40,789835,797817,829854,789762,833947,0,0,0,0
representative_application_alloc,application_hash_sdax,10,9,0,,,,,,575,47357,0,0
representative_application_alloc,application_hash_sdax,100,99,0,,,,,,5262,536429,0,0
